state,action,q_value
"[[0, 0, 0], [0, 0, 0], ['O', 0, 'X']]",1,0.6838278686621418
"[[0, 0, 0], [0, 0, 0], ['O', 0, 'X']]",8,0.0
"[[0, 0, 0], [0, 0, 0], ['O', 0, 'X']]",3,0.0
"[[0, 0, 0], [0, 0, 0], ['O', 0, 'X']]",6,0.0
"[[0, 0, 0], [0, 0, 0], ['O', 0, 'X']]",4,0.0
"[[0, 0, 0], [0, 0, 0], ['O', 0, 'X']]",2,0.0
"[[0, 0, 0], [0, 'X', 0], ['O', 0, 'X']]",1,0.00034511589000000014
"[[0, 0, 0], [0, 'X', 0], ['O', 0, 'X']]",8,0.0008100000000000002
"[[0, 0, 0], [0, 'X', 0], ['O', 0, 'X']]",6,0.006561826686000001
"[[0, 0, 0], [0, 'X', 0], ['O', 0, 'X']]",3,0.0
"[[0, 0, 0], [0, 'X', 0], ['O', 0, 'X']]",2,0.008685110709000004
"[[0, 0, 0], [0, 'X', 0], ['O', 0, 'X']]",4,0.008724024000000002
"[['O', 0, 0], [0, 'X', 0], ['O', 0, 'X']]",6,0.0
"[['O', 0, 0], [0, 'X', 0], ['O', 0, 'X']]",8,0.0
"[['O', 0, 0], [0, 'X', 0], ['O', 0, 'X']]",3,0.0034511589000000014
"[['O', 0, 0], [0, 'X', 'X'], ['O', 0, 'X']]",2,0.0
"[['O', 0, 0], [0, 'X', 'X'], ['O', 0, 'X']]",3,0.034954993936710005
"[['O', 0, 0], [0, 'X', 'X'], ['O', 0, 'X']]",4,-0.40951000000000004
"[['O', 0, 0], [0, 'X', 'X'], ['O', 0, 'X']]",8,0.0
"[['O', 'O', 0], [0, 'X', 'X'], ['O', 0, 'X']]",8,-0.009000000000000001
"[['O', 'O', 0], [0, 'X', 'X'], ['O', 0, 'X']]",3,-0.1
"[['O', 'O', 0], [0, 'X', 'X'], ['O', 'X', 'X']]",3,-0.19
"[['X', 0, 0], [0, 0, 0], [0, 0, 0]]",5,0.5904899999999977
"[['X', 0, 0], [0, 0, 0], [0, 0, 0]]",6,0.7289999999999983
"[['X', 0, 0], [0, 0, 0], [0, 0, 0]]",4,0.7289999999999983
"[['X', 0, 0], [0, 0, 0], [0, 0, 0]]",7,0.7289999999999983
"[['X', 0, 0], [0, 0, 0], [0, 0, 0]]",3,0.7289999999999983
"[['X', 0, 0], [0, 0, 0], [0, 0, 0]]",9,0.7289999999999983
"[['X', 0, 0], [0, 0, 0], [0, 0, 0]]",8,0.7289999999999983
"[['X', 0, 0], [0, 0, 0], [0, 0, 0]]",2,0.7289999999999983
"[['X', 0, 0], [0, 'O', 0], [0, 0, 0]]",9,0.6560999999999979
"[['X', 0, 0], [0, 'O', 0], [0, 0, 0]]",8,0.0
"[['X', 0, 0], [0, 'O', 0], [0, 0, 0]]",6,0.0
"[['X', 0, 0], [0, 'O', 0], [0, 0, 0]]",7,0.0
"[['X', 0, 0], [0, 'O', 0], [0, 0, 0]]",2,0.0
"[['X', 0, 0], [0, 'O', 0], [0, 0, 0]]",3,0.0
"[['X', 0, 0], [0, 'O', 0], [0, 0, 0]]",4,-0.0008100000000000002
"[['X', 0, 0], [0, 'O', 0], [0, 0, 'X']]",3,0.7289999999999983
"[['X', 0, 0], [0, 'O', 0], [0, 0, 'X']]",7,0.7289999999999983
"[['X', 0, 0], [0, 'O', 0], [0, 0, 'X']]",2,0.7289999999999983
"[['X', 0, 0], [0, 'O', 0], [0, 0, 'X']]",8,0.7289999999999983
"[['X', 0, 0], [0, 'O', 0], [0, 0, 'X']]",4,0.7289999999999983
"[['X', 0, 0], [0, 'O', 0], [0, 0, 'X']]",6,0.7289999999999983
"[['X', 0, 'O'], [0, 'O', 0], [0, 0, 'X']]",8,0.8099999999999987
"[['X', 0, 'O'], [0, 'O', 0], [0, 0, 'X']]",7,-0.1
"[['X', 0, 'O'], [0, 'O', 0], [0, 0, 'X']]",2,-1.7780310000000007e-05
"[['X', 0, 'O'], [0, 'O', 0], [0, 0, 'X']]",6,-0.0008100000000000002
"[['X', 0, 'O'], [0, 'O', 0], [0, 0, 'X']]",4,0.0
"[['X', 0, 'O'], [0, 'O', 0], [0, 'X', 'X']]",2,0.899999999999999
"[['X', 0, 'O'], [0, 'O', 0], [0, 'X', 'X']]",7,-0.9999999999999996
"[['X', 0, 'O'], [0, 'O', 0], [0, 'X', 'X']]",4,0.899999999999999
"[['X', 0, 'O'], [0, 'O', 0], [0, 'X', 'X']]",6,0.899999999999999
"[['X', 'O', 'O'], [0, 'O', 0], [0, 'X', 'X']]",6,0.0
"[['X', 'O', 'O'], [0, 'O', 0], [0, 'X', 'X']]",7,0.9999999999999996
"[['X', 'O', 'O'], [0, 'O', 'X'], [0, 'X', 'X']]",4,0.8999999999959187
"[['X', 'O', 'O'], [0, 'O', 'X'], [0, 'X', 'X']]",7,-0.9999999999915534
"[['X', 'O', 'O'], ['O', 'O', 'X'], [0, 'X', 'X']]",7,0.9999999999999996
"[[0, 'X', 0], [0, 0, 0], [0, 0, 0]]",5,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 0]]",6,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 0]]",1,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 0]]",3,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 0]]",9,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 0]]",7,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 0]]",4,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 0]]",8,0.0
"[[0, 'X', 0], [0, 'O', 0], [0, 0, 0]]",7,0.0
"[[0, 'X', 0], [0, 'O', 0], [0, 0, 0]]",4,0.0
"[[0, 'X', 0], [0, 'O', 0], [0, 0, 0]]",1,0.0
"[[0, 'X', 0], [0, 'O', 0], [0, 0, 0]]",9,0.0
"[[0, 'X', 0], [0, 'O', 0], [0, 0, 0]]",3,0.0
"[[0, 'X', 0], [0, 'O', 0], ['X', 0, 0]]",6,0.0
"[[0, 'X', 0], [0, 'O', 0], ['X', 0, 0]]",3,0.0
"[[0, 'X', 0], [0, 'O', 'O'], ['X', 0, 0]]",4,0.0
"[[0, 'X', 0], ['X', 'O', 'O'], ['X', 0, 0]]",1,0.0
"[['O', 'X', 0], ['X', 'O', 'O'], ['X', 0, 0]]",8,0.0
"[['O', 'X', 0], ['X', 'O', 'O'], ['X', 'X', 0]]",9,-0.19
"[[0, 0, 0], [0, 0, 0], [0, 0, 'O']]",2,0.0
"[[0, 0, 0], [0, 0, 0], [0, 0, 'O']]",3,0.0
"[[0, 0, 0], [0, 0, 0], [0, 0, 'O']]",8,0.0
"[[0, 0, 0], [0, 0, 0], [0, 0, 'O']]",7,0.0
"[[0, 0, 0], [0, 0, 0], [0, 0, 'O']]",6,0.0
"[[0, 0, 0], [0, 0, 0], [0, 0, 'O']]",4,0.65585019926981
"[[0, 0, 0], [0, 0, 0], [0, 0, 'O']]",5,0.0
"[[0, 0, 0], [0, 0, 0], [0, 0, 'O']]",1,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 'O']]",5,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 'O']]",8,-0.0008100000000000002
"[[0, 'X', 0], [0, 0, 0], [0, 0, 'O']]",7,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 'O']]",1,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 'O']]",3,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 'O']]",6,0.0
"[[0, 'X', 0], [0, 0, 0], [0, 0, 'O']]",4,0.0
"[[0, 'X', 0], [0, 'O', 0], [0, 0, 'O']]",7,0.0
"[[0, 'X', 0], [0, 'O', 0], [0, 0, 'O']]",4,0.0
"[[0, 'X', 0], [0, 'O', 0], ['X', 0, 'O']]",8,0.0
"[[0, 'X', 0], [0, 'O', 0], ['X', 0, 'O']]",4,0.0
"[[0, 'X', 0], [0, 'O', 0], ['X', 0, 'O']]",3,0.0
"[[0, 'X', 0], [0, 'O', 0], ['X', 'O', 'O']]",1,0.0
"[['X', 'X', 0], [0, 'O', 0], ['X', 'O', 'O']]",4,0.0
"[['X', 'X', 0], ['O', 'O', 0], ['X', 'O', 'O']]",3,0.19
"[[0, 0, 'X'], [0, 0, 0], [0, 0, 'O']]",4,0.0
"[[0, 0, 'X'], [0, 0, 0], [0, 0, 'O']]",1,0.0015390000000000004
"[[0, 0, 'X'], [0, 0, 0], [0, 0, 'O']]",8,-0.0008100000000000002
"[[0, 0, 'X'], [0, 0, 0], [0, 0, 'O']]",2,0.0
"[[0, 0, 'X'], [0, 0, 0], [0, 0, 'O']]",7,0.0
"[[0, 0, 'X'], [0, 0, 0], [0, 0, 'O']]",6,0.0
"[[0, 0, 'X'], ['O', 0, 0], [0, 0, 'O']]",2,0.0
