Episode,Reward,Result
353,1.0,win
354,1.0,win
355,0.5,tie
356,1.0,win
357,-1.0,lose
358,1.0,win
359,-1.0,lose
360,0.5,tie
361,-1.0,lose
362,-1.0,lose
363,-1.0,lose
364,1.0,win
365,1.0,win
366,1.0,win
367,1.0,win
368,-1.0,lose
369,1.0,win
370,1.0,win
371,1.0,win
372,-1.0,lose
373,-1.0,lose
374,-1.0,lose
375,-1.0,lose
376,-1.0,lose
377,-1.0,lose
378,-1.0,lose
379,1.0,win
380,-1.0,lose
381,-1.0,lose
382,1.0,win
383,1.0,win
384,1.0,win
385,0.5,tie
386,-1.0,lose
387,1.0,win
388,0.5,tie
389,1.0,win
390,0.5,tie
391,1.0,win
392,1.0,win
393,1.0,win
394,1.0,win
395,0.5,tie
396,0.5,tie
397,1.0,win
398,-1.0,lose
399,-1.0,lose
400,1.0,win
401,0.5,tie
402,1.0,win
403,1.0,win
404,-1.0,lose
405,-1.0,lose
406,-1.0,lose
407,-1.0,lose
408,-1.0,lose
409,1.0,win
410,-1.0,lose
411,-1.0,lose
412,-1.0,lose
413,1.0,win
414,1.0,win
415,-1.0,lose
416,1.0,win
417,1.0,win
418,-1.0,lose
419,1.0,win
420,-1.0,lose
421,1.0,win
422,0.5,tie
423,-1.0,lose
424,-1.0,lose
425,1.0,win
426,0.5,tie
427,1.0,win
428,-1.0,lose
429,1.0,win
430,1.0,win
431,-1.0,lose
432,1.0,win
433,1.0,win
434,-1.0,lose
435,-1.0,lose
436,0.5,tie
437,-1.0,lose
438,-1.0,lose
439,1.0,win
440,0.5,tie
441,-1.0,lose
442,1.0,win
443,1.0,win
444,-1.0,lose
445,-1.0,lose
446,1.0,win
447,-1.0,lose
448,1.0,win
449,1.0,win
450,-1.0,lose
451,-1.0,lose
452,-1.0,lose
453,-1.0,lose
454,0.5,tie
455,0.5,tie
456,-1.0,lose
457,1.0,win
458,0.5,tie
459,1.0,win
460,1.0,win
461,-1.0,lose
462,1.0,win
463,-1.0,lose
464,-1.0,lose
465,0.5,tie
466,0.5,tie
467,1.0,win
468,1.0,win
469,0.5,tie
470,-1.0,lose
471,1.0,win
472,-1.0,lose
473,1.0,win
474,1.0,win
475,1.0,win
476,-1.0,lose
477,1.0,win
478,0.5,tie
479,0.5,tie
480,1.0,win
481,1.0,win
482,0.5,tie
483,-1.0,lose
484,1.0,win
485,0.5,tie
486,0.5,tie
487,1.0,win
488,0.5,tie
489,0.5,tie
490,-1.0,lose
491,-1.0,lose
492,1.0,win
493,1.0,win
494,1.0,win
495,1.0,win
496,1.0,win
497,1.0,win
498,-1.0,lose
499,-1.0,lose
500,-1.0,lose
501,-1.0,lose
502,-1.0,lose
503,1.0,win
504,1.0,win
505,1.0,win
506,1.0,win
507,1.0,win
508,-1.0,lose
509,-1.0,lose
510,1.0,win
511,1.0,win
512,-1.0,lose
513,0.5,tie
514,0.5,tie
515,0.5,tie
516,-1.0,lose
517,-1.0,lose
518,-1.0,lose
519,1.0,win
520,1.0,win
521,1.0,win
522,-1.0,lose
523,-1.0,lose
524,1.0,win
525,1.0,win
526,1.0,win
527,1.0,win
528,-1.0,lose
529,-1.0,lose
530,1.0,win
531,1.0,win
532,1.0,win
533,0.5,tie
534,1.0,win
535,1.0,win
536,1.0,win
537,-1.0,lose
538,-1.0,lose
539,0.5,tie
540,1.0,win
541,1.0,win
542,0.5,tie
543,-1.0,lose
544,-1.0,lose
545,1.0,win
546,-1.0,lose
547,1.0,win
548,1.0,win
549,1.0,win
550,1.0,win
551,0.5,tie
552,1.0,win
