Episode,Reward,Result
0,1.0,win
1,1.0,win
2,-1.0,lose
3,-1.0,lose
4,-1.0,lose
5,1.0,win
6,-1.0,lose
7,-1.0,lose
8,-1.0,lose
9,1.0,win
10,0.5,tie
11,1.0,win
12,-1.0,lose
13,-1.0,lose
14,1.0,win
15,1.0,win
16,-1.0,lose
17,1.0,win
18,-1.0,lose
19,1.0,win
20,-1.0,lose
21,1.0,win
22,1.0,win
23,1.0,win
24,1.0,win
25,0.5,tie
26,-1.0,lose
27,1.0,win
28,1.0,win
29,1.0,win
30,-1.0,lose
31,1.0,win
32,-1.0,lose
33,-1.0,lose
34,-1.0,lose
35,1.0,win
36,1.0,win
37,1.0,win
38,-1.0,lose
39,1.0,win
40,-1.0,lose
41,-1.0,lose
42,-1.0,lose
43,1.0,win
44,1.0,win
45,-1.0,lose
46,-1.0,lose
47,-1.0,lose
48,-1.0,lose
49,0.5,tie
50,-1.0,lose
51,1.0,win
52,-1.0,lose
53,-1.0,lose
54,-1.0,lose
55,-1.0,lose
56,-1.0,lose
57,1.0,win
58,1.0,win
59,1.0,win
60,0.5,tie
61,1.0,win
62,-1.0,lose
63,-1.0,lose
64,-1.0,lose
65,0.5,tie
66,1.0,win
67,-1.0,lose
68,-1.0,lose
69,0.5,tie
70,1.0,win
71,-1.0,lose
72,-1.0,lose
73,1.0,win
74,0.5,tie
75,-1.0,lose
76,1.0,win
77,1.0,win
78,1.0,win
79,1.0,win
80,1.0,win
81,1.0,win
82,-1.0,lose
83,-1.0,lose
84,1.0,win
85,1.0,win
86,-1.0,lose
87,-1.0,lose
88,1.0,win
89,0.5,tie
90,1.0,win
91,-1.0,lose
92,-1.0,lose
93,-1.0,lose
94,1.0,win
95,1.0,win
96,-1.0,lose
97,-1.0,lose
98,-1.0,lose
99,1.0,win
100,-1.0,lose
101,1.0,win
102,1.0,win
103,0.5,tie
104,-1.0,lose
105,1.0,win
106,-1.0,lose
107,-1.0,lose
108,0.5,tie
109,0.5,tie
110,1.0,win
111,-1.0,lose
112,1.0,win
113,1.0,win
114,0.5,tie
115,-1.0,lose
116,1.0,win
117,1.0,win
118,1.0,win
119,1.0,win
120,-1.0,lose
121,1.0,win
122,0.5,tie
123,-1.0,lose
124,-1.0,lose
125,1.0,win
126,1.0,win
127,-1.0,lose
128,-1.0,lose
129,1.0,win
130,-1.0,lose
131,-1.0,lose
132,-1.0,lose
133,-1.0,lose
134,1.0,win
135,-1.0,lose
136,1.0,win
137,0.5,tie
138,1.0,win
139,1.0,win
140,1.0,win
141,1.0,win
142,-1.0,lose
143,1.0,win
144,-1.0,lose
145,1.0,win
146,-1.0,lose
147,1.0,win
148,1.0,win
149,-1.0,lose
150,1.0,win
151,-1.0,lose
152,1.0,win
153,-1.0,lose
154,1.0,win
155,-1.0,lose
156,-1.0,lose
157,0.5,tie
158,1.0,win
159,-1.0,lose
160,1.0,win
161,-1.0,lose
162,-1.0,lose
163,1.0,win
164,1.0,win
165,-1.0,lose
166,1.0,win
167,-1.0,lose
168,1.0,win
169,1.0,win
170,1.0,win
171,-1.0,lose
172,1.0,win
173,-1.0,lose
174,-1.0,lose
175,-1.0,lose
176,-1.0,lose
177,1.0,win
178,-1.0,lose
179,0.5,tie
180,1.0,win
181,0.5,tie
182,1.0,win
183,-1.0,lose
184,-1.0,lose
185,1.0,win
186,1.0,win
187,1.0,win
188,1.0,win
189,-1.0,lose
190,1.0,win
191,-1.0,lose
192,0.5,tie
193,1.0,win
194,1.0,win
