Episode,Reward,Result
0,-1.0,lose
1,1.0,win
2,1.0,win
3,-1.0,lose
4,1.0,win
5,-1.0,lose
6,-1.0,lose
7,-1.0,lose
8,0.5,tie
9,-1.0,lose
10,1.0,win
11,-1.0,lose
12,-1.0,lose
13,-1.0,lose
14,0.5,tie
15,1.0,win
16,1.0,win
17,0.5,tie
18,-1.0,lose
19,-1.0,lose
20,1.0,win
21,-1.0,lose
22,-1.0,lose
23,-1.0,lose
24,0.5,tie
25,1.0,win
26,0.5,tie
27,-1.0,lose
28,1.0,win
29,-1.0,lose
30,1.0,win
31,-1.0,lose
32,-1.0,lose
33,-1.0,lose
34,-1.0,lose
35,1.0,win
36,-1.0,lose
37,1.0,win
38,0.5,tie
39,1.0,win
40,1.0,win
41,-1.0,lose
42,1.0,win
43,1.0,win
44,1.0,win
45,-1.0,lose
46,1.0,win
47,0.5,tie
48,1.0,win
49,0.5,tie
50,1.0,win
51,1.0,win
52,-1.0,lose
53,-1.0,lose
54,1.0,win
55,1.0,win
56,-1.0,lose
57,1.0,win
58,0.5,tie
59,1.0,win
60,1.0,win
61,-1.0,lose
62,-1.0,lose
63,1.0,win
64,-1.0,lose
65,0.5,tie
66,0.5,tie
67,1.0,win
68,-1.0,lose
69,1.0,win
70,1.0,win
71,-1.0,lose
72,1.0,win
73,0.5,tie
74,1.0,win
75,-1.0,lose
76,-1.0,lose
77,0.5,tie
78,-1.0,lose
79,1.0,win
80,1.0,win
81,-1.0,lose
82,-1.0,lose
83,0.5,tie
84,1.0,win
85,-1.0,lose
86,1.0,win
87,-1.0,lose
88,0.5,tie
89,1.0,win
90,-1.0,lose
91,-1.0,lose
92,-1.0,lose
93,1.0,win
94,-1.0,lose
95,-1.0,lose
96,0.5,tie
97,-1.0,lose
98,1.0,win
99,-1.0,lose
100,1.0,win
101,1.0,win
102,1.0,win
103,-1.0,lose
104,-1.0,lose
105,-1.0,lose
106,-1.0,lose
107,1.0,win
108,1.0,win
109,-1.0,lose
110,1.0,win
111,1.0,win
112,-1.0,lose
113,-1.0,lose
114,1.0,win
115,-1.0,lose
116,1.0,win
117,0.5,tie
118,-1.0,lose
119,-1.0,lose
120,-1.0,lose
121,-1.0,lose
122,1.0,win
123,-1.0,lose
124,1.0,win
125,-1.0,lose
126,-1.0,lose
127,1.0,win
128,1.0,win
129,-1.0,lose
130,1.0,win
131,1.0,win
132,-1.0,lose
133,-1.0,lose
134,-1.0,lose
135,-1.0,lose
