Episode,Reward,Result
136,0.5,tie
137,-1.0,lose
138,1.0,win
139,-1.0,lose
140,0.5,tie
141,1.0,win
142,1.0,win
143,-1.0,lose
144,1.0,win
145,-1.0,lose
146,-1.0,lose
147,-1.0,lose
148,-1.0,lose
149,-1.0,lose
150,1.0,win
151,1.0,win
152,0.5,tie
153,1.0,win
154,-1.0,lose
155,-1.0,lose
156,1.0,win
157,-1.0,lose
158,1.0,win
159,1.0,win
160,-1.0,lose
161,-1.0,lose
162,1.0,win
163,-1.0,lose
164,-1.0,lose
165,-1.0,lose
166,1.0,win
167,-1.0,lose
168,-1.0,lose
169,-1.0,lose
170,-1.0,lose
171,-1.0,lose
172,0.5,tie
173,1.0,win
174,1.0,win
175,1.0,win
176,1.0,win
177,1.0,win
178,1.0,win
179,1.0,win
180,-1.0,lose
181,-1.0,lose
182,1.0,win
183,1.0,win
184,-1.0,lose
185,-1.0,lose
186,-1.0,lose
187,1.0,win
188,1.0,win
189,-1.0,lose
190,1.0,win
191,-1.0,lose
192,0.5,tie
193,-1.0,lose
194,1.0,win
195,0.5,tie
196,-1.0,lose
197,1.0,win
198,1.0,win
199,-1.0,lose
200,1.0,win
201,0.5,tie
202,-1.0,lose
203,1.0,win
204,0.5,tie
205,-1.0,lose
206,1.0,win
207,-1.0,lose
208,-1.0,lose
209,1.0,win
210,-1.0,lose
211,1.0,win
212,-1.0,lose
213,0.5,tie
214,1.0,win
215,-1.0,lose
216,0.5,tie
217,-1.0,lose
218,1.0,win
219,1.0,win
220,1.0,win
221,1.0,win
222,-1.0,lose
223,-1.0,lose
224,1.0,win
225,0.5,tie
226,1.0,win
227,-1.0,lose
228,-1.0,lose
229,-1.0,lose
230,-1.0,lose
231,-1.0,lose
232,-1.0,lose
233,1.0,win
234,-1.0,lose
235,1.0,win
236,-1.0,lose
237,-1.0,lose
238,1.0,win
239,1.0,win
240,-1.0,lose
241,1.0,win
242,-1.0,lose
243,1.0,win
244,-1.0,lose
245,1.0,win
246,1.0,win
247,-1.0,lose
248,1.0,win
249,-1.0,lose
250,-1.0,lose
251,-1.0,lose
252,1.0,win
253,-1.0,lose
254,1.0,win
255,-1.0,lose
256,1.0,win
257,1.0,win
258,1.0,win
259,-1.0,lose
260,-1.0,lose
261,-1.0,lose
262,1.0,win
263,-1.0,lose
264,-1.0,lose
265,1.0,win
266,1.0,win
267,0.5,tie
268,1.0,win
269,-1.0,lose
270,-1.0,lose
271,1.0,win
272,-1.0,lose
273,1.0,win
274,0.5,tie
275,-1.0,lose
276,0.5,tie
277,1.0,win
278,-1.0,lose
279,-1.0,lose
280,-1.0,lose
281,1.0,win
282,1.0,win
283,1.0,win
284,0.5,tie
285,1.0,win
286,1.0,win
287,1.0,win
288,1.0,win
289,1.0,win
290,0.5,tie
291,0.5,tie
292,-1.0,lose
293,-1.0,lose
294,1.0,win
295,-1.0,lose
296,1.0,win
297,-1.0,lose
298,1.0,win
299,1.0,win
300,1.0,win
301,1.0,win
302,-1.0,lose
303,1.0,win
304,1.0,win
305,-1.0,lose
306,0.5,tie
307,-1.0,lose
308,-1.0,lose
309,1.0,win
310,-1.0,lose
311,-1.0,lose
312,-1.0,lose
313,-1.0,lose
314,-1.0,lose
315,-1.0,lose
316,-1.0,lose
317,-1.0,lose
318,-1.0,lose
319,-1.0,lose
320,-1.0,lose
321,1.0,win
322,1.0,win
323,-1.0,lose
324,1.0,win
325,1.0,win
326,-1.0,lose
327,-1.0,lose
328,0.5,tie
329,1.0,win
330,-1.0,lose
331,-1.0,lose
332,1.0,win
333,1.0,win
334,1.0,win
335,1.0,win
336,0.5,tie
337,1.0,win
338,-1.0,lose
339,1.0,win
340,-1.0,lose
341,1.0,win
342,0.5,tie
343,-1.0,lose
344,1.0,win
345,1.0,win
346,-1.0,lose
347,1.0,win
348,-1.0,lose
349,-1.0,lose
350,1.0,win
351,-1.0,lose
352,-1.0,lose
353,1.0,win
354,1.0,win
355,1.0,win
356,0.5,tie
357,1.0,win
358,-1.0,lose
359,-1.0,lose
360,1.0,win
361,1.0,win
362,1.0,win
363,1.0,win
364,1.0,win
365,-1.0,lose
366,1.0,win
367,1.0,win
368,0.5,tie
369,1.0,win
370,-1.0,lose
371,-1.0,lose
372,-1.0,lose
373,-1.0,lose
374,-1.0,lose
375,0.5,tie
376,-1.0,lose
377,0.5,tie
378,-1.0,lose
379,-1.0,lose
380,1.0,win
381,-1.0,lose
382,1.0,win
383,-1.0,lose
384,-1.0,lose
385,-1.0,lose
386,0.5,tie
387,0.5,tie
388,1.0,win
389,-1.0,lose
390,0.5,tie
391,-1.0,lose
392,1.0,win
393,1.0,win
394,1.0,win
395,1.0,win
396,1.0,win
397,1.0,win
398,-1.0,lose
399,-1.0,lose
400,1.0,win
401,-1.0,lose
402,-1.0,lose
403,1.0,win
404,1.0,win
405,0.5,tie
406,1.0,win
407,1.0,win
408,1.0,win
409,1.0,win
410,1.0,win
411,-1.0,lose
412,-1.0,lose
413,0.5,tie
414,1.0,win
415,-1.0,lose
416,1.0,win
417,-1.0,lose
418,1.0,win
419,1.0,win
420,0.5,tie
421,-1.0,lose
422,-1.0,lose
423,1.0,win
424,1.0,win
425,0.5,tie
426,1.0,win
427,-1.0,lose
428,-1.0,lose
429,-1.0,lose
430,-1.0,lose
431,-1.0,lose
432,1.0,win
433,0.5,tie
434,-1.0,lose
435,0.5,tie
436,-1.0,lose
437,-1.0,lose
438,-1.0,lose
439,-1.0,lose
440,0.5,tie
441,-1.0,lose
442,0.5,tie
443,-1.0,lose
444,-1.0,lose
445,0.5,tie
446,1.0,win
447,-1.0,lose
448,1.0,win
449,-1.0,lose
450,1.0,win
451,-1.0,lose
452,0.5,tie
453,1.0,win
454,1.0,win
455,-1.0,lose
456,-1.0,lose
457,-1.0,lose
458,-1.0,lose
459,-1.0,lose
460,0.5,tie
461,-1.0,lose
462,1.0,win
463,1.0,win
464,1.0,win
465,1.0,win
466,-1.0,lose
467,-1.0,lose
468,-1.0,lose
469,1.0,win
470,-1.0,lose
471,-1.0,lose
472,-1.0,lose
473,-1.0,lose
474,-1.0,lose
475,-1.0,lose
476,-1.0,lose
477,1.0,win
478,1.0,win
479,1.0,win
480,-1.0,lose
481,0.5,tie
482,1.0,win
483,0.5,tie
484,1.0,win
485,-1.0,lose
486,-1.0,lose
487,0.5,tie
488,1.0,win
489,-1.0,lose
490,-1.0,lose
491,-1.0,lose
492,1.0,win
493,0.5,tie
494,1.0,win
495,-1.0,lose
496,1.0,win
497,1.0,win
498,-1.0,lose
499,-1.0,lose
500,-1.0,lose
501,1.0,win
502,-1.0,lose
503,1.0,win
504,1.0,win
505,-1.0,lose
506,1.0,win
507,-1.0,lose
508,1.0,win
509,-1.0,lose
510,-1.0,lose
511,-1.0,lose
512,1.0,win
513,-1.0,lose
514,1.0,win
515,1.0,win
516,-1.0,lose
517,-1.0,lose
518,1.0,win
519,1.0,win
520,1.0,win
521,-1.0,lose
522,1.0,win
523,1.0,win
524,1.0,win
525,1.0,win
526,1.0,win
527,1.0,win
528,1.0,win
529,-1.0,lose
530,1.0,win
531,-1.0,lose
532,-1.0,lose
533,-1.0,lose
534,-1.0,lose
535,1.0,win
536,1.0,win
537,1.0,win
538,-1.0,lose
539,-1.0,lose
540,1.0,win
541,-1.0,lose
542,-1.0,lose
543,-1.0,lose
544,-1.0,lose
545,1.0,win
546,0.5,tie
547,1.0,win
548,1.0,win
549,-1.0,lose
550,0.5,tie
551,0.5,tie
552,1.0,win
553,0.5,tie
554,1.0,win
555,-1.0,lose
556,1.0,win
557,1.0,win
558,1.0,win
559,-1.0,lose
560,1.0,win
561,1.0,win
562,1.0,win
563,1.0,win
564,-1.0,lose
565,1.0,win
566,1.0,win
567,1.0,win
568,-1.0,lose
569,-1.0,lose
570,-1.0,lose
571,-1.0,lose
572,1.0,win
573,-1.0,lose
574,-1.0,lose
575,1.0,win
576,1.0,win
577,0.5,tie
578,1.0,win
579,1.0,win
580,1.0,win
581,-1.0,lose
582,-1.0,lose
583,0.5,tie
584,1.0,win
585,-1.0,lose
586,1.0,win
587,1.0,win
588,-1.0,lose
589,-1.0,lose
590,1.0,win
591,-1.0,lose
592,-1.0,lose
593,1.0,win
594,0.5,tie
595,0.5,tie
596,-1.0,lose
597,1.0,win
598,1.0,win
599,-1.0,lose
600,-1.0,lose
601,1.0,win
602,-1.0,lose
603,1.0,win
604,-1.0,lose
605,1.0,win
606,0.5,tie
607,0.5,tie
608,-1.0,lose
609,-1.0,lose
610,-1.0,lose
611,1.0,win
612,1.0,win
613,1.0,win
614,-1.0,lose
615,1.0,win
616,0.5,tie
617,-1.0,lose
618,0.5,tie
619,1.0,win
620,-1.0,lose
621,-1.0,lose
622,-1.0,lose
623,-1.0,lose
624,-1.0,lose
625,1.0,win
626,0.5,tie
627,1.0,win
628,1.0,win
629,0.5,tie
630,-1.0,lose
631,1.0,win
632,-1.0,lose
633,1.0,win
634,-1.0,lose
635,-1.0,lose
636,0.5,tie
637,1.0,win
638,1.0,win
639,1.0,win
640,0.5,tie
641,1.0,win
642,0.5,tie
643,-1.0,lose
644,-1.0,lose
645,1.0,win
646,1.0,win
647,-1.0,lose
648,0.5,tie
649,1.0,win
650,1.0,win
651,-1.0,lose
652,1.0,win
653,-1.0,lose
654,1.0,win
655,0.5,tie
656,0.5,tie
657,1.0,win
658,1.0,win
659,-1.0,lose
660,1.0,win
661,-1.0,lose
662,-1.0,lose
663,1.0,win
664,-1.0,lose
665,-1.0,lose
666,-1.0,lose
667,-1.0,lose
668,1.0,win
669,1.0,win
670,1.0,win
671,1.0,win
672,-1.0,lose
673,1.0,win
674,1.0,win
675,-1.0,lose
676,-1.0,lose
677,-1.0,lose
678,1.0,win
679,1.0,win
680,-1.0,lose
681,1.0,win
682,1.0,win
683,1.0,win
684,-1.0,lose
685,-1.0,lose
686,-1.0,lose
687,0.5,tie
688,-1.0,lose
689,1.0,win
690,-1.0,lose
691,1.0,win
692,1.0,win
693,-1.0,lose
694,-1.0,lose
695,1.0,win
696,-1.0,lose
697,0.5,tie
698,1.0,win
699,-1.0,lose
700,1.0,win
701,1.0,win
702,-1.0,lose
703,1.0,win
704,-1.0,lose
705,-1.0,lose
706,-1.0,lose
707,1.0,win
708,0.5,tie
709,1.0,win
710,1.0,win
711,-1.0,lose
712,-1.0,lose
713,-1.0,lose
714,1.0,win
715,1.0,win
716,-1.0,lose
717,-1.0,lose
718,-1.0,lose
719,1.0,win
720,1.0,win
721,1.0,win
722,1.0,win
723,1.0,win
724,1.0,win
725,1.0,win
726,1.0,win
727,0.5,tie
728,-1.0,lose
729,1.0,win
730,0.5,tie
731,1.0,win
732,1.0,win
733,1.0,win
734,1.0,win
735,0.5,tie
736,1.0,win
737,1.0,win
738,-1.0,lose
739,1.0,win
740,1.0,win
741,1.0,win
742,1.0,win
743,1.0,win
744,1.0,win
745,1.0,win
746,1.0,win
747,1.0,win
748,1.0,win
749,1.0,win
750,1.0,win
751,1.0,win
752,-1.0,lose
753,1.0,win
754,-1.0,lose
755,0.5,tie
756,1.0,win
757,1.0,win
758,-1.0,lose
759,1.0,win
760,1.0,win
761,0.5,tie
762,1.0,win
763,0.5,tie
764,1.0,win
765,0.5,tie
766,-1.0,lose
767,1.0,win
768,-1.0,lose
769,1.0,win
770,0.5,tie
771,1.0,win
772,1.0,win
773,1.0,win
774,-1.0,lose
775,-1.0,lose
776,1.0,win
777,1.0,win
778,1.0,win
779,1.0,win
780,1.0,win
781,1.0,win
782,1.0,win
783,1.0,win
784,1.0,win
785,1.0,win
786,1.0,win
787,1.0,win
788,1.0,win
789,1.0,win
790,-1.0,lose
791,-1.0,lose
792,0.5,tie
793,-1.0,lose
794,1.0,win
795,1.0,win
796,1.0,win
797,1.0,win
798,1.0,win
799,1.0,win
800,-1.0,lose
801,1.0,win
802,1.0,win
803,-1.0,lose
804,1.0,win
805,1.0,win
806,1.0,win
807,1.0,win
808,1.0,win
809,1.0,win
810,1.0,win
811,0.5,tie
812,1.0,win
813,-1.0,lose
814,1.0,win
815,1.0,win
816,1.0,win
817,1.0,win
818,1.0,win
819,-1.0,lose
820,1.0,win
821,-1.0,lose
822,1.0,win
823,1.0,win
824,-1.0,lose
825,-1.0,lose
826,-1.0,lose
827,1.0,win
828,-1.0,lose
829,1.0,win
830,0.5,tie
831,-1.0,lose
832,1.0,win
833,-1.0,lose
834,1.0,win
835,-1.0,lose
836,1.0,win
837,1.0,win
838,1.0,win
839,0.5,tie
840,1.0,win
841,-1.0,lose
842,1.0,win
843,1.0,win
844,-1.0,lose
845,-1.0,lose
846,-1.0,lose
847,-1.0,lose
848,1.0,win
849,-1.0,lose
850,1.0,win
851,1.0,win
852,1.0,win
853,0.5,tie
854,1.0,win
855,-1.0,lose
856,-1.0,lose
857,-1.0,lose
858,0.5,tie
859,0.5,tie
860,1.0,win
861,-1.0,lose
862,1.0,win
863,1.0,win
864,-1.0,lose
865,0.5,tie
866,1.0,win
867,-1.0,lose
868,1.0,win
869,1.0,win
870,1.0,win
871,1.0,win
872,-1.0,lose
873,1.0,win
874,1.0,win
875,1.0,win
876,-1.0,lose
877,0.5,tie
878,-1.0,lose
879,-1.0,lose
880,-1.0,lose
881,1.0,win
882,1.0,win
883,1.0,win
884,1.0,win
885,1.0,win
886,1.0,win
887,1.0,win
888,1.0,win
889,-1.0,lose
890,-1.0,lose
891,1.0,win
892,1.0,win
893,-1.0,lose
894,1.0,win
895,1.0,win
896,1.0,win
897,-1.0,lose
898,0.5,tie
899,1.0,win
900,1.0,win
901,1.0,win
902,1.0,win
903,-1.0,lose
904,1.0,win
905,1.0,win
906,1.0,win
907,-1.0,lose
908,1.0,win
909,1.0,win
910,1.0,win
911,1.0,win
912,1.0,win
913,0.5,tie
914,-1.0,lose
915,1.0,win
916,1.0,win
917,-1.0,lose
918,1.0,win
919,1.0,win
920,1.0,win
921,-1.0,lose
922,0.5,tie
923,-1.0,lose
924,-1.0,lose
925,-1.0,lose
926,1.0,win
927,1.0,win
928,-1.0,lose
929,1.0,win
930,-1.0,lose
931,-1.0,lose
932,1.0,win
933,1.0,win
934,1.0,win
935,1.0,win
936,0.5,tie
937,1.0,win
938,1.0,win
939,1.0,win
940,1.0,win
941,0.5,tie
942,-1.0,lose
943,-1.0,lose
944,1.0,win
945,-1.0,lose
946,1.0,win
947,1.0,win
948,0.5,tie
949,1.0,win
950,1.0,win
951,1.0,win
952,1.0,win
953,1.0,win
954,1.0,win
955,1.0,win
956,1.0,win
957,1.0,win
958,-1.0,lose
959,1.0,win
960,1.0,win
961,1.0,win
962,1.0,win
963,1.0,win
964,1.0,win
965,-1.0,lose
966,-1.0,lose
967,0.5,tie
968,1.0,win
969,1.0,win
970,1.0,win
971,1.0,win
972,1.0,win
973,1.0,win
974,-1.0,lose
975,1.0,win
976,1.0,win
977,1.0,win
978,-1.0,lose
979,1.0,win
980,1.0,win
981,1.0,win
982,1.0,win
983,1.0,win
984,-1.0,lose
985,1.0,win
986,-1.0,lose
987,-1.0,lose
988,-1.0,lose
989,1.0,win
990,-1.0,lose
991,1.0,win
992,1.0,win
993,1.0,win
994,1.0,win
995,1.0,win
996,-1.0,lose
997,1.0,win
998,1.0,win
999,1.0,win
1000,1.0,win
1001,1.0,win
1002,1.0,win
1003,0.5,tie
1004,1.0,win
1005,1.0,win
1006,1.0,win
1007,0.5,tie
1008,1.0,win
1009,-1.0,lose
1010,1.0,win
1011,1.0,win
1012,1.0,win
1013,1.0,win
1014,1.0,win
1015,1.0,win
1016,1.0,win
1017,1.0,win
1018,0.5,tie
1019,1.0,win
1020,0.5,tie
1021,1.0,win
1022,1.0,win
1023,1.0,win
1024,1.0,win
1025,1.0,win
1026,1.0,win
1027,1.0,win
1028,0.5,tie
1029,1.0,win
1030,1.0,win
1031,-1.0,lose
1032,1.0,win
1033,1.0,win
1034,-1.0,lose
1035,1.0,win
1036,1.0,win
1037,-1.0,lose
1038,1.0,win
1039,1.0,win
1040,0.5,tie
1041,1.0,win
1042,1.0,win
1043,1.0,win
1044,0.5,tie
1045,1.0,win
1046,1.0,win
1047,1.0,win
1048,-1.0,lose
1049,1.0,win
1050,-1.0,lose
1051,1.0,win
1052,1.0,win
1053,1.0,win
1054,1.0,win
1055,1.0,win
1056,-1.0,lose
1057,1.0,win
1058,1.0,win
1059,1.0,win
1060,0.5,tie
1061,-1.0,lose
1062,-1.0,lose
1063,-1.0,lose
1064,1.0,win
1065,-1.0,lose
1066,0.5,tie
1067,1.0,win
1068,1.0,win
1069,-1.0,lose
1070,1.0,win
1071,1.0,win
1072,1.0,win
1073,1.0,win
1074,1.0,win
1075,1.0,win
1076,-1.0,lose
1077,1.0,win
1078,1.0,win
1079,1.0,win
1080,-1.0,lose
1081,1.0,win
1082,1.0,win
1083,1.0,win
1084,0.5,tie
1085,1.0,win
1086,1.0,win
1087,1.0,win
1088,1.0,win
1089,1.0,win
1090,1.0,win
1091,-1.0,lose
1092,1.0,win
1093,-1.0,lose
1094,-1.0,lose
1095,1.0,win
1096,1.0,win
1097,1.0,win
1098,1.0,win
1099,1.0,win
1100,1.0,win
1101,1.0,win
1102,1.0,win
1103,1.0,win
1104,1.0,win
1105,1.0,win
1106,1.0,win
1107,1.0,win
1108,1.0,win
1109,1.0,win
1110,1.0,win
1111,1.0,win
1112,1.0,win
1113,1.0,win
1114,-1.0,lose
1115,1.0,win
1116,-1.0,lose
1117,-1.0,lose
1118,0.5,tie
1119,-1.0,lose
1120,1.0,win
1121,1.0,win
1122,1.0,win
1123,1.0,win
1124,0.5,tie
1125,-1.0,lose
1126,-1.0,lose
1127,-1.0,lose
1128,1.0,win
1129,1.0,win
1130,1.0,win
1131,0.5,tie
1132,1.0,win
1133,1.0,win
1134,0.5,tie
1135,1.0,win
1136,1.0,win
1137,-1.0,lose
1138,1.0,win
1139,1.0,win
1140,-1.0,lose
1141,-1.0,lose
1142,-1.0,lose
1143,1.0,win
1144,1.0,win
1145,1.0,win
1146,1.0,win
1147,0.5,tie
1148,1.0,win
1149,1.0,win
1150,1.0,win
1151,1.0,win
1152,1.0,win
1153,1.0,win
1154,-1.0,lose
1155,1.0,win
1156,-1.0,lose
1157,1.0,win
1158,-1.0,lose
1159,1.0,win
1160,1.0,win
1161,1.0,win
1162,1.0,win
1163,-1.0,lose
1164,1.0,win
1165,-1.0,lose
1166,1.0,win
1167,-1.0,lose
1168,1.0,win
1169,1.0,win
1170,-1.0,lose
1171,1.0,win
1172,1.0,win
1173,1.0,win
1174,1.0,win
1175,1.0,win
1176,1.0,win
1177,1.0,win
1178,1.0,win
1179,1.0,win
1180,1.0,win
1181,1.0,win
1182,1.0,win
1183,-1.0,lose
1184,1.0,win
1185,1.0,win
1186,1.0,win
1187,1.0,win
1188,-1.0,lose
1189,1.0,win
1190,-1.0,lose
1191,-1.0,lose
1192,1.0,win
1193,0.5,tie
1194,1.0,win
1195,1.0,win
1196,1.0,win
1197,-1.0,lose
1198,-1.0,lose
1199,1.0,win
1200,1.0,win
1201,1.0,win
1202,1.0,win
1203,1.0,win
1204,1.0,win
1205,1.0,win
1206,1.0,win
1207,1.0,win
1208,1.0,win
1209,-1.0,lose
1210,-1.0,lose
1211,1.0,win
1212,1.0,win
1213,-1.0,lose
1214,1.0,win
1215,-1.0,lose
1216,1.0,win
1217,1.0,win
1218,1.0,win
1219,1.0,win
1220,1.0,win
1221,1.0,win
1222,0.5,tie
1223,1.0,win
1224,1.0,win
1225,-1.0,lose
1226,1.0,win
1227,-1.0,lose
1228,1.0,win
1229,1.0,win
1230,1.0,win
1231,-1.0,lose
1232,1.0,win
1233,-1.0,lose
1234,1.0,win
1235,1.0,win
1236,1.0,win
1237,1.0,win
1238,1.0,win
1239,1.0,win
1240,1.0,win
1241,1.0,win
1242,-1.0,lose
1243,-1.0,lose
1244,1.0,win
1245,-1.0,lose
1246,1.0,win
1247,-1.0,lose
1248,-1.0,lose
1249,1.0,win
1250,1.0,win
1251,1.0,win
1252,-1.0,lose
1253,1.0,win
1254,1.0,win
1255,1.0,win
1256,1.0,win
1257,1.0,win
1258,1.0,win
1259,1.0,win
1260,1.0,win
1261,-1.0,lose
1262,1.0,win
1263,-1.0,lose
1264,1.0,win
1265,1.0,win
1266,1.0,win
1267,1.0,win
1268,1.0,win
1269,1.0,win
1270,-1.0,lose
1271,-1.0,lose
1272,1.0,win
1273,-1.0,lose
1274,-1.0,lose
1275,1.0,win
1276,0.5,tie
1277,0.5,tie
1278,1.0,win
1279,-1.0,lose
1280,-1.0,lose
1281,1.0,win
1282,1.0,win
1283,-1.0,lose
1284,1.0,win
1285,0.5,tie
1286,-1.0,lose
1287,1.0,win
1288,0.5,tie
1289,1.0,win
1290,0.5,tie
1291,0.5,tie
1292,1.0,win
1293,1.0,win
1294,1.0,win
1295,1.0,win
1296,-1.0,lose
1297,-1.0,lose
1298,1.0,win
1299,1.0,win
1300,0.5,tie
1301,1.0,win
1302,1.0,win
1303,0.5,tie
1304,-1.0,lose
1305,1.0,win
1306,1.0,win
1307,-1.0,lose
1308,-1.0,lose
1309,1.0,win
1310,0.5,tie
1311,1.0,win
1312,-1.0,lose
1313,-1.0,lose
1314,1.0,win
1315,1.0,win
1316,-1.0,lose
1317,1.0,win
1318,-1.0,lose
1319,1.0,win
1320,1.0,win
1321,1.0,win
1322,1.0,win
1323,1.0,win
1324,1.0,win
1325,-1.0,lose
1326,-1.0,lose
1327,-1.0,lose
1328,1.0,win
1329,1.0,win
1330,1.0,win
1331,1.0,win
1332,1.0,win
1333,1.0,win
1334,1.0,win
1335,1.0,win
1336,1.0,win
1337,1.0,win
1338,1.0,win
1339,1.0,win
1340,-1.0,lose
1341,-1.0,lose
1342,1.0,win
1343,1.0,win
1344,1.0,win
1345,1.0,win
1346,-1.0,lose
1347,-1.0,lose
1348,1.0,win
1349,0.5,tie
1350,-1.0,lose
1351,1.0,win
1352,1.0,win
1353,1.0,win
1354,1.0,win
1355,1.0,win
1356,1.0,win
1357,1.0,win
1358,-1.0,lose
1359,1.0,win
1360,-1.0,lose
1361,1.0,win
1362,1.0,win
1363,-1.0,lose
1364,-1.0,lose
1365,-1.0,lose
1366,1.0,win
1367,-1.0,lose
1368,-1.0,lose
1369,1.0,win
1370,1.0,win
1371,-1.0,lose
1372,1.0,win
1373,1.0,win
1374,1.0,win
1375,1.0,win
1376,1.0,win
1377,1.0,win
1378,-1.0,lose
1379,1.0,win
1380,1.0,win
1381,0.5,tie
1382,1.0,win
1383,1.0,win
1384,1.0,win
1385,1.0,win
1386,-1.0,lose
1387,1.0,win
1388,1.0,win
1389,1.0,win
1390,1.0,win
1391,1.0,win
1392,-1.0,lose
1393,1.0,win
1394,1.0,win
1395,1.0,win
1396,1.0,win
1397,1.0,win
1398,1.0,win
1399,1.0,win
1400,0.5,tie
1401,1.0,win
1402,0.5,tie
1403,1.0,win
1404,1.0,win
1405,1.0,win
1406,-1.0,lose
1407,-1.0,lose
1408,-1.0,lose
1409,-1.0,lose
1410,1.0,win
1411,1.0,win
1412,0.5,tie
1413,1.0,win
1414,1.0,win
1415,1.0,win
1416,0.5,tie
1417,-1.0,lose
1418,1.0,win
1419,-1.0,lose
1420,1.0,win
1421,0.5,tie
1422,1.0,win
1423,1.0,win
1424,1.0,win
1425,-1.0,lose
1426,1.0,win
1427,-1.0,lose
1428,-1.0,lose
1429,1.0,win
1430,1.0,win
1431,1.0,win
1432,1.0,win
1433,1.0,win
1434,1.0,win
1435,1.0,win
1436,1.0,win
1437,1.0,win
1438,-1.0,lose
1439,1.0,win
1440,-1.0,lose
1441,1.0,win
1442,-1.0,lose
1443,1.0,win
1444,1.0,win
1445,1.0,win
1446,1.0,win
1447,1.0,win
1448,1.0,win
1449,1.0,win
1450,1.0,win
1451,1.0,win
1452,1.0,win
1453,0.5,tie
1454,1.0,win
1455,-1.0,lose
1456,1.0,win
1457,1.0,win
1458,-1.0,lose
1459,0.5,tie
1460,1.0,win
1461,1.0,win
1462,1.0,win
1463,1.0,win
1464,1.0,win
1465,1.0,win
1466,1.0,win
1467,1.0,win
1468,-1.0,lose
1469,1.0,win
1470,1.0,win
1471,0.5,tie
1472,1.0,win
1473,1.0,win
1474,1.0,win
1475,0.5,tie
1476,-1.0,lose
1477,1.0,win
1478,-1.0,lose
1479,-1.0,lose
1480,1.0,win
1481,1.0,win
1482,1.0,win
1483,1.0,win
1484,-1.0,lose
1485,1.0,win
1486,1.0,win
1487,1.0,win
1488,1.0,win
1489,0.5,tie
1490,1.0,win
1491,1.0,win
1492,1.0,win
1493,1.0,win
1494,1.0,win
1495,1.0,win
1496,1.0,win
1497,1.0,win
1498,1.0,win
1499,1.0,win
1500,1.0,win
1501,1.0,win
1502,-1.0,lose
1503,1.0,win
1504,1.0,win
1505,1.0,win
1506,0.5,tie
1507,-1.0,lose
1508,1.0,win
1509,1.0,win
1510,-1.0,lose
1511,-1.0,lose
1512,1.0,win
1513,1.0,win
1514,0.5,tie
1515,1.0,win
1516,-1.0,lose
1517,1.0,win
1518,1.0,win
1519,1.0,win
1520,1.0,win
1521,1.0,win
1522,1.0,win
1523,1.0,win
1524,1.0,win
1525,1.0,win
1526,1.0,win
1527,-1.0,lose
1528,-1.0,lose
1529,1.0,win
1530,0.5,tie
1531,1.0,win
